week,day,cup_number,pH,temperature_C
5,29/11/2021,47,7.01,26.6
5,29/11/2021,48,7.20,27.0
6,3/12/2021,1,6.6,26.9
6,3/12/2021,2,7.05,27.2
6,3/12/2021,3,6.29,26.7
6,3/12/2021,4,6.32,26.9
6,3/12/2021,5,6.4,27.8
6,3/12/2021,6,6.21,26.3
6,3/12/2021,7,6.45,25.7
6,3/12/2021,8,6.5,26.1
6,3/12/2021,9,6.84,26.7
6,3/12/2021,10,6.33,27
6,3/12/2021,11,6.85,26.9
6,3/12/2021,12,6.36,26.7
6,3/12/2021,13,7.1,27
6,3/12/2021,14,6.95,27.5
6,3/12/2021,15,7.02,26.2
6,3/12/2021,16,6.84,27.5
6,3/12/2021,17,7.33,26.5
6,3/12/2021,18,7.2,26.3
6,3/12/2021,19,6.55,26.7
6,3/12/2021,20,6.98,27.4
6,3/12/2021,21,6.73,27.1
6,3/12/2021,22,6.82,27
6,3/12/2021,23,6.83,26.5
6,3/12/2021,24,6.53,26.6
6,3/12/2021,25,7.16,26.6
6,3/12/2021,26,6.95,26.9
6,3/12/2021,27,8.01,28.1
6,3/12/2021,28, 7.05,26
6,3/12/2021,29,6.93,26.7
6,3/12/2021,30,6.99,25.8
6,3/12/2021,31,6.93,26.9
6,3/12/2021,32,7.11,26.8
6,3/12/2021,33,7.02,26.3
6,3/12/2021,34,7.03,26.4
6,3/12/2021,35,7.04,26.8
6,3/12/2021,36,6.97,25.2
6,3/12/2021,37,7.75,26.4
6,3/12/2021,38,7.6,27
6,3/12/2021,39,8.02,26.6
6,3/12/2021,40,6.92,26.7
6,3/12/2021,41,6.88,25.4
6,3/12/2021,42,7.6,28
6,3/12/2021,43,7.59,26.6
6,3/12/2021,44,7.28,27.4
6,3/12/2021,45,7.65,27.2
6,3/12/2021,46,7.75,27.7
6,3/12/2021,47,7.52,27.3
6,3/12/2021,48,8,26.7
