Week,Day,cup_number,mosquito_id,event,size_mm,molting,left_wing_mm,right_wing_mm,dry_mass_mg,sex
2,09/11/2021,25,2,death,,,,,,
2,09/11/2021,25,3,death,,,,,,
2,09/11/2021,27,6,death,,,,,,
2,09/11/2021,28,2,death,,,,,,
2,09/11/2021,29,2,death,,,,,,
2,09/11/2021,37,5,death,,,,,,
2,10/11/2021,42,5,pupation,,,,,,
2,10/11/2021,28,3,missing,,,,,,
2,10/11/2021,38,4,missing,,,,,,
2,10/11/2021,38,5,missing,,,,,,
2,10/11/2021,29,3,death,5,Y,,,,
2,10/11/2021,32,3,death,6,Y,,,,
2,10/11/2021,40,3,death,3,N,,,,
2,11/11/2021,25,4,death,6,N,,,,
2,11/11/2021,39,4,death,7,Y,,,,
2,12/11/2021,41,5,pupation,,,,,,
2,12/11/2021,39,5,pupation,,,,,,
2,12/11/2021,29,4,pupation,,,,,,
2,12/11/2021,2,2,missing,,,,,,
2,13/11/2021,17,4,pupation,,,,,,
2,13/11/2021,17,5,death,4,N,,,,
2,13/11/2021,25,5,death,5,N,,,,
2,13/11/2021,4,3,death,4,N,,,,
2,13/11/2021,32,4,pupation,,,,,,
2,13/11/2021,40,4,pupation,,,,,,
2,13/11/2021,40,5,death,3,N,,,,
2,13/11/2021,28,4,pupation,,,,,,
2,13/11/2021,16,2,death,4,Y,,,,
2,13/11/2021,46,1,emergence,,,3.225,3.225,0.429,M
2,13/11/2021,42,6,pupation,,,,,,
2,13/11/2021,42,5,emergence,,,3.35,3.45,0.415,M
2,14/11/2021,30,2,death,6,Y,,,,
2,14/11/2021,30,3,death,4,Y,,,,
2,14/11/2021,25,6,pupation,,,,,,
2,14/11/2021,32,5,pupation,,,,,,
3,15/11/2021,41,5,emergence,,,2.625,2.6,0.297,M
3,15/11/2021,29,4,emergence,,,3.15,3.175,0.337,M
3,15/11/2021,2,3,death,3,Y,,,,
3,15/11/2021,28,5,pupation,,,,,,
3,15/11/2021,39,5,emergence,,,3.675,3.9,0.337,F
3,16/11/2021,28,4,emergence,,,3.45,3.425,0.301,F
3,16/11/2021,29,5,death,5,Y,,,,
3,16/11/2021,2,4,pupation,,,,,,
3,16/11/2021,39,6,pupation,,,,,,
3,16/11/2021,16,3,pupation,,,,,,
3,17/11/2021,32,4,emergence,,,2.875,2.85,0.22,M
3,17/11/2021,40,4,emergence,,,2.55,2.55,0.181,M
3,17/11/2021,42,6,emergence,,,3.15,3.175,0.346,M
3,17/11/2021,17,4,emergence,,,3.025,3.1,0.206,F
3,17/11/2021,30,4,death,5,N,,,,
3,17/11/2021,38,6,death,5,N,,,,
3,17/11/2021,6,2,death,5,N,,,,
3,17/11/2021,6,3,death,4,N,,,,
3,17/11/2021,29,6,death,3,N,,,,
3,17/11/2021,32,6,death,5,Y,,,,
3,17/11/2021,40,6,death,6,Y,,,,
3,18/11/2021,30,5,pupation,,,,,,
3,18/11/2021,37,6,missing ,,,,,,
3,18/11/2021,25,6,emergence,,,3.475,3.45,0.248,F
3,18/11/2021,28,5,emergence,,,3.275,3.275,0.205,F
3,18/11/2021,2,4,emergence,,,2.575,2.525,0.139,M
3,19/11/2021,4,4,death,3,Y,,,,
3,19/11/2021,39,6,emergence,,,3.5,3.5,0.328,F
3,20/11/2021,30,6,death,6,N,,,,
3,20/11/2021,28,6,death,7,N,,,,
3,20/11/2021,17,6,pupation,,,,,,
3,20/11/2021,18,3,pupation,,,,,,
3,20/11/2021,1,3,pupation,,,,,,
3,20/11/2021,16,3,emergence,,,2.7,2.675,0.137,F
3,21/11/2021,5,2,death,3,N,,,,
3,21/11/2021,30,5,emergence,,,2.775,2.875,0.2,M
4,22/11/2021,13,4,pupation,,,,,,
4,23/11/2021,13,5,pupation,,,,,,
4,23/11/2021,2,5,death,,,,,,
4,23/11/2021,2,6,death,4,N,,,,
4,24/11/2021,41,6,death ,6,N,,,,
4,24/11/2021,16,4,death,4,N,,,,
4,24/11/2021,14,3,pupation,,,,,,
4,24/11/2021,17,6,emergence,,,3.25,3.275,0.253,F
4,25/11/2021,14,4,pupation,,,,,,
4,26/11/2021,13,5,emergence,,,2.75,2.625,0.157,M
4,26/11/2021,13,4,death,,,,,,
4,26/11/2021,18,3,death,,,,,,
4,26/11/2021,1,3,death,,,,,,
4,27/11/2021,15,3,death,4,Y,,,,
4,27/11/2021,5,3,death,4,N,,,,
4,27/11/2021,4,5,death,5,N,,,,
4,27/11/2021,14,3,emergence,,,2.475,2.5,0.148,M
4,28/11/2021,6,4,death,4,Y,,,,
4,28/11/2021,14,5,death,4,N,,,,
4,28/11/2021,1,4,death,3,N,,,,
5,29/11/2021,14,4,emergence,,,2.55,2.525,0.145,M
5,29/11/2021,13,6,death,7,N,,,,
5,30/11/2021,15,4,death ,6,N,,,,
5,30/11/2021,14,6,pupation,,,,,,
5,01/12/2021,16,5,death,5,N,,,,
6,03/12/2021,14,6,death,,Y,,,,
6,03/12/2021,16,6,death ,6,N,,,,
6,03/12/2021,6,5,death ,4,N,,,,
6,04/12/2021,5,4,death,6,Y,,,,
6,04/12/2021,18,4,pupation,,,,,,
6,05/12/2021,15,5,death,,Y,,,,
6,05/12/2021,6,6,pupation,,,,,,
6,05/12/2021,1,5,death,5,N,,,,
6,07/12/2021,18,5,death,4,N,,,,
6,09/12/2021,15,6,death ,5,Y,,,,
6,09/12/2021,18,4,death,,N,,,,
6,09/12/2022,6,6,death ,,Y,,,,
6,10/12/2021,5,5,death,6,Y,,,,
6,10/12/2021,4,6,pupation ,,,,,,
6,12/12/2021,5,6,death,6,N,,,,
6,12/12/2021,4,6,death,,N,,,,
7,14/12/2021,18,6,pupation ,,,,,,
7,15/12/2021,18,6,death,,N,,,,
7,19/12/2021,1,6,death,7,N,,,,
,,32,5,emergence,,,3.075,3.05,0.265,M
